config,Year,Trt_code,Date,SWD_AC,Canopy_AC,SWD_obs,SWD_USDA,root_raw,stage,dap,gdd_cum,z_root_m,canopy_cover_frac,Es_mm,Tr_mm,DeepPerc_mm,Tmean,Tmax,Tmin,ETo,Rain,Irr,irr7,irr14,rain7,rain14,eto7,eto14,days_since_irr,cum_irr,cum_rain,cum_eto,LV,GF
z105_i85,2013,8,2013-08-15,11.741455456756285,87.413014514471,26.4,27.5,1010.0,,93.0,1111.578,0.9350297676494512,0.8964630639274523,0.2461135829322164,4.272500178992314,0.2103879891448282,18.963333333333335,28.04,9.83,4.906800728291273,0.0,0.0,20.3,71.0,6.604000000000001,26.674,31.762524253485026,64.74773132343216,3,300.2,140.72000000000003,857.3926049317167,65,65
z105_i85,2013,8,2013-08-20,25.600463272085044,87.413014514471,53.7,51.8,1035.0,,98.0,1176.4379999999996,0.9725220641259164,0.8964630639274523,0.0251100498839582,4.914905388115447,1.2915102522066525e-06,23.830000000000002,35.32,11.66,5.490727498196065,0.0,0.0,10.1,50.7,0.254,6.8580000000000005,35.3957660344895,64.06020894748508,4,310.3,140.97400000000002,883.4424397053597,65,65
z105_i85,2013,8,2013-08-22,4.469528488673439,87.413014514471,21.3,34.8,1045.0,,100.0,1205.9279999999994,0.98739056051273,0.8964630639274523,0.2011776467983712,3.569843204740757,1.0929809883080272e-08,21.340416666666666,28.22,15.02,4.010906720650382,6.858,0.0,33.3,53.599999999999994,7.112,13.716000000000001,35.4796203521546,67.24214460563962,1,333.5,147.83200000000002,892.8722252838713,65,65
z105_i85,2013,8,2013-08-25,17.37375438665578,87.413014514471,52.9,55.6,1050.0,,103.0,1247.3129999999996,1.009561510892379,0.8964630639274523,0.2440593479302028,4.293585314251674,8.447792108559475e-12,22.77,31.99,13.55,4.865845159387391,0.762,0.0,23.200000000000003,53.599999999999994,7.619999999999999,14.478,35.134301971153036,67.83124956247411,4,333.5,148.59400000000002,907.405591163694,65,65
z105_i85,2013,8,2013-08-27,11.295220123721997,87.413014514471,24.6,52.1,1050.0,,105.0,1277.0579999999995,1.024256807025859,0.8964630639274523,0.2672517510868908,4.674451285954605,2.220446049250313e-14,25.059583333333336,32.97,16.27,5.328235326334834,0.0,0.0,39.400000000000006,49.5,7.619999999999999,7.873999999999999,34.797323829643574,70.19308986413307,1,349.7,148.59400000000002,918.2397635350032,65,65
z105_i85,2013,8,2013-08-29,19.245250399675243,87.413014514471,46.4,64.1,1050.0,,107.0,1305.1229999999996,1.0388857540884078,0.8964630639274523,0.2911640974708406,5.063125419145774,0.0,24.50916666666667,34.64,14.62,5.804979101521894,0.0,0.0,16.2,49.5,2.54,9.652,35.8371042281251,71.3167245802797,3,349.7,150.372,928.7093295119964,65,65
z105_i85,2013,8,2013-09-04,24.262591431250925,82.815881120381,67.3,72.3,1050.0,,113.0,1390.6479999999997,1.04617583905815,0.8493172205923402,0.047031248194921,3.4088087032088263,0.0,23.8025,33.49,15.65,4.340326585806906,0.0,0.0,18.2,34.39999999999999,0.254,9.652,32.49019912822405,66.53323097547764,5,367.9,150.626,955.3945495386986,65,65
z105_i85,2013,8,2013-09-06,18.35157582206166,80.3882149039096,43.5,65.8,1050.0,,115.0,1422.1629999999998,1.04617583905815,0.8244203204373772,0.5361781522590856,4.176787351344933,0.0,24.721666666666664,34.52,18.52,5.6139699492487125,0.0,0.0,15.2,49.599999999999994,0.254,2.794,33.259101307194214,68.41495374022998,1,383.09999999999997,150.626,966.2939003845938,65,65
z105_i85,2013,8,2013-09-17,2.813035214767419,49.22515616880574,17.5,16.5,1050.0,,126.0,1542.573,1.04617583905815,0.5048279660243219,0.8760179034866459,1.147819581523539,2.161712676125501,17.775000000000002,28.45,9.7,3.7621738291345537,0.0,0.0,0.0,15.199999999999996,43.688,73.91199999999999,15.201894072648429,46.89642286167509,12,383.09999999999997,224.538,997.9506458145668,65,65
z105_i85,2013,9,2013-06-06,24.91078522222663,0.9313134045352356,10.1,11.6,90.0,,23.0,201.63449999999995,0.3298381477900274,0.014686962024777,0.4121976966798398,0.1190408977291393,0.0,16.814875,25.99,5.286,6.198272599140182,0.0,0.0,0.0,0.0,6.096,16.002000000000002,44.82105320122537,87.28158844794416,999,0.0,83.05800000000002,445.64362764055915,65,50
z105_i85,2013,9,2013-06-10,19.08362240509955,1.6742775443665288,14.9,9.8,130.0,,27.0,245.90299999999996,0.3716329768158321,0.0271751953939242,1.457753174417945,0.3087103051750268,0.0,24.17375,35.34,10.58,6.439476323546842,0.0,0.0,22.1,22.1,6.096,16.002000000000002,40.85664927187827,85.80417321013738,3,22.1,83.05800000000002,471.05069577957585,65,50
z105_i85,2013,9,2013-06-12,22.50726835686358,2.02239101797817,20.1,17.6,150.0,,29.0,273.1979999999999,0.3919165002920148,0.0346159476504775,0.9920235623237064,0.5374063374088572,0.0,24.22125,32.93,14.16,8.838447848334908,0.0,0.0,22.1,22.1,0.0,6.096,49.346285929279475,94.91857060134862,5,22.1,83.05800000000002,488.79164097069844,65,50
z105_i85,2013,9,2013-06-14,13.83700216416108,2.802524123260577,-0.9,3.8,170.0,,31.0,300.41799999999995,0.4118427481181079,0.0479689770561648,5.303911936496564,0.695186974883988,0.0,23.691666666666674,32.38,14.36,8.314928553532809,0.0,0.0,21.7,43.8,0.0,6.096,52.03894611452597,94.99783964635208,1,43.8,83.05800000000002,503.80023315064574,65,50
z105_i85,2013,9,2013-06-19,23.11029575790001,5.472792214787446,23.0,20.2,220.0,,36.0,362.613,0.460288950839066,0.0988253820202369,0.6453507634651102,1.4509008033641773,0.0,23.514166666666668,34.74,12.84,8.67553332587704,0.0,0.0,21.7,43.8,0.0,0.0,49.27305418389733,98.6193401131768,6,43.8,83.05800000000002,538.0646951545957,65,50
z105_i85,2013,9,2013-06-21,16.003191471483287,7.583482753901944,7.4,8.9,240.0,,38.0,391.698,0.4791824155179334,0.1367255854566752,3.099528432417116,1.5060085340769025,0.0,24.11125,33.06,16.01,6.653141879010946,0.0,0.0,20.3,42.0,0.254,0.254,48.91174887912348,100.95069499364945,1,64.1,83.31200000000003,552.7119820297692,65,50
z105_i85,2013,9,2013-06-25,26.12054956180304,13.213066740331142,33.4,26.3,290.0,,42.0,445.303,0.5162427594925265,0.2454446697673853,0.4183775371142337,2.504420593648321,0.0,25.49,31.31,18.04,6.560590788838454,0.0,0.0,20.3,42.0,0.762,0.762,49.05450271128211,98.49047141763731,5,64.1,83.82000000000002,578.4436645400008,65,50
z105_i85,2013,9,2013-06-27,26.675730120021008,17.5812217076585,12.8,26.4,320.0,,44.0,474.053,0.5344405528134383,0.3296336799675016,2.6768085534885184,4.221201575124242,0.0,27.743333333333336,35.38,17.84,8.636774873360991,0.0,0.0,12.2,32.5,0.508,0.762,48.230494643212296,98.80403019685764,1,76.3,83.82000000000002,594.2893347939705,65,50
z105_i85,2013,9,2013-06-30,35.21095519483119,24.493428148319456,42.3,38.2,365.0,,47.0,516.9079999999999,0.5613588043136397,0.4533074134454237,0.0854730017658124,3.7588361858002015,0.0,21.35833333333333,27.27,15.01,5.9909079084172845,0.0,0.0,12.2,32.5,2.032,2.286,50.02835238847183,98.49256238696398,4,76.3,85.34400000000002,615.1605815259852,65,50
z105_i85,2013,9,2013-07-02,35.77732086063565,32.352682161708415,23.7,34.8,395.0,,49.0,540.3679999999999,0.5790685205413582,0.5645065706776943,2.1343546456775324,4.754241330030435,0.0,20.3725,27.31,12.43,6.605367057956755,0.0,0.0,24.4,44.7,2.032,2.794,49.817554780689534,98.87205749197165,1,88.5,85.85200000000002,628.2612193206903,65,50
z105_i85,2013,9,2013-07-04,43.84023776319869,37.75932565580096,51.8,43.5,425.0,,51.0,565.6429999999999,0.5966013738835376,0.5848842102017529,0.5030042284651266,4.961666045897059,0.0,23.987083333333334,33.14,12.0,7.285675808088854,0.0,0.0,12.2,24.4,2.032,2.54,47.97776487580268,96.20825951901497,3,88.5,85.85200000000002,642.2670996697732,65,50
z105_i85,2013,9,2013-07-09,50.1610958390032,60.54962936774732,53.8,48.6,500.0,,56.0,638.3279999999999,0.6397001130576959,0.7072036703482366,0.0777170369478473,4.655388457116333,0.0,25.22458333333333,35.74,13.55,6.5148397772572935,0.0,0.0,16.2,40.599999999999994,5.334,7.366,43.796917271538405,93.61447205222794,4,104.7,91.18600000000002,672.0581365922287,65,50
z105_i85,2013,9,2013-07-11,41.153663283182965,69.68705103631844,38.3,38.9,540.0,,58.0,666.2129999999999,0.6566444402637965,0.7723625563936681,1.2160860187537847,7.718986613529972,0.0,25.98,36.82,14.47,8.513537204824388,0.0,0.0,41.599999999999994,53.8,5.334,7.366,45.059855848696316,93.03762072449899,1,130.1,91.18600000000002,687.3269555184695,65,50
z105_i85,2013,9,2013-07-14,42.21637065134728,78.80976604424016,36.3,42.5,600.0,,61.0,709.9729999999998,0.6818501487143862,0.8374165693512506,0.4584996160324318,4.6688486909092015,0.0,20.870833333333334,25.95,15.48,4.9191127277881606,1.016,0.0,25.4,53.8,16.002,21.844,43.899203468216,88.01490514220495,4,130.1,107.18800000000002,703.1754866681902,65,50
z105_i85,2013,9,2013-07-16,38.05055039911282,82.78681306453537,19.0,40.4,640.0,,63.0,736.2929999999999,0.6984865649765732,0.8657768621113048,0.5475217892642007,7.297082648609229,0.0,21.122916666666665,27.83,12.38,7.5708305025764275,0.0,0.0,42.3,58.5,16.002,21.336,43.0797077795869,86.8766250511253,1,147.0,107.18800000000002,715.1378443718156,65,50
z105_i85,2013,9,2013-07-18,49.31743707166419,84.361430803843,52.5,53.1,680.0,,65.0,765.0529999999999,0.7149954735048116,0.8754411783443173,0.3893099222964115,5.756281997266674,0.0,22.232916666666668,33.1,14.66,5.962461876682937,3.048,0.0,16.9,58.5,19.05,24.383999999999997,41.36358551257581,86.42344136127213,3,147.0,110.23600000000002,728.6905410310453,65,50
z105_i85,2013,9,2013-07-23,61.7422218227841,87.10950351065303,65.1,67.3,780.0,,70.0,831.6079999999998,0.7557421540504425,0.8928428522200382,0.0145812824472689,5.1121592033499095,0.0,21.70375,28.64,13.15,5.665949362330139,0.0,0.0,12.2,54.5,5.334,21.336,39.95403988286853,83.03374766245543,4,159.2,112.52200000000002,755.0918842546841,65,50
z105_i85,2013,9,2013-07-25,51.356523166486525,87.48199203830353,41.1,56.8,820.0,V18,72.0,857.3679999999998,0.7718329882157547,0.8956565608951094,0.1449052098226499,2.672266864314281,0.0,19.297083333333333,24.97,14.25,2.8561332554672845,0.0,0.0,30.5,47.4,2.286,21.336,33.982164114073385,75.3457496266492,1,177.5,112.52200000000002,762.6727051451187,65,50
z105_i85,2013,9,2013-07-28,61.70339135668221,87.48199203830353,66.8,69.3,880.0,,75.0,889.0129999999998,0.7957830928278794,0.8956565608951094,0.1224535180261651,2.1574969533459445,0.0,17.42125,22.46,14.06,2.4136024198960513,0.508,0.0,18.3,47.4,1.524,6.8580000000000005,31.678499319357798,71.69425371920806,4,177.5,114.046,774.8697403873982,65,50
z105_i85,2013,9,2013-07-30,16.672446462897906,87.48199203830353,9.3,25.4,910.0,,77.0,913.9979999999998,0.8116217479878637,0.8956565608951094,0.2743114831324912,5.126371866756745,0.0,21.17916666666667,30.69,13.01,5.406776956398971,0.0,0.0,70.9,83.1,1.524,6.8580000000000005,27.09857230790658,67.05261219077511,1,230.1,114.046,782.1904565625907,65,50
z105_i85,2013,9,2013-08-01,27.387752705453487,87.48199203830353,36.6,38.2,930.0,R1,79.0,941.213,0.8273619114461316,0.8956565608951094,0.231001837272774,4.293833656597127,0.0,21.539166666666663,30.19,14.24,4.553128423169255,0.0,0.0,52.599999999999994,83.1,1.524,3.81,29.972168463165872,63.954332577239256,3,230.1,114.046,792.6448736082846,65,50
z105_i85,2013,9,2013-08-06,14.948742421492936,87.48199203830353,19.9,21.0,965.0,,84.0,1010.4479999999998,0.866301851825391,0.8956565608951094,0.2700080346619189,4.951195117707245,0.2023280000972352,20.744583333333335,30.85,12.62,5.321954455503146,0.0,0.0,30.4,101.3,20.07,21.593999999999998,37.19177419528387,64.29034650319045,4,260.5,134.116,819.3822307578746,65,50
z105_i85,2013,9,2013-08-08,2.0055025209859125,87.48199203830353,5.0,8.6,975.0,R2,86.0,1031.6729999999998,0.8817211900746454,0.8956565608951094,0.1422880470790485,2.483584304699347,1.4918373365424629,17.9425,24.92,12.8,2.804548046377022,0.0,0.0,50.7,103.3,20.07,21.593999999999998,32.98520706994714,62.95737553311301,1,280.8,134.116,825.6300806782317,65,50
z105_i85,2013,9,2013-08-11,15.779054117664495,87.48199203830353,41.9,26.5,990.0,,89.0,1067.393,0.9046906363574462,0.8956565608951094,0.1915251480083386,3.464029430958385,0.0059316514292561,21.0375,27.59,14.67,3.7750288285315037,0.0,0.0,20.3,103.3,0.0,20.07,30.79437022570346,64.70460121382166,4,280.8,134.116,839.5743416012199,65,50
z105_i85,2013,9,2013-08-13,1.574348267267656,87.48199203830353,6.1,12.0,1000.0,,91.0,1089.558,0.919900782214536,0.8956565608951094,0.2138691132526146,3.701470837156491,4.699416010559393,18.892500000000002,26.06,12.06,4.215436335420236,0.762,0.0,40.6,71.0,6.604000000000001,26.674,28.664442912995582,65.85621710827945,1,301.1,140.72000000000003,848.0466736708702,65,50
z105_i85,2013,9,2013-08-15,11.74017790333829,87.48199203830353,23.9,23.9,1010.0,,93.0,1111.578,0.9350313557887324,0.8956565608951094,0.2489453136438656,4.270518028346031,0.2103350903256529,18.963333333333335,28.04,9.83,4.906800728291273,0.0,0.0,20.3,71.0,6.604000000000001,26.674,31.762524253485026,64.74773132343216,3,301.1,140.72000000000003,857.3926049317167,65,50
z105_i85,2013,9,2013-08-20,35.136391083056715,87.48199203830353,62.8,56.7,1035.0,,98.0,1176.4379999999996,0.9725236522651978,0.8956565608951094,0.0149074137346086,4.912694079582639,1.1310010327599118e-06,23.830000000000002,35.32,11.66,5.490727498196065,0.0,0.0,0.0,40.6,0.254,6.8580000000000005,35.3957660344895,64.06020894748508,8,301.1,140.97400000000002,883.4424397053597,65,50
z105_i85,2013,9,2013-08-22,19.903261059664786,87.48199203830353,35.0,44.7,1045.0,,100.0,1205.9279999999994,0.9873921486520112,0.8956565608951094,0.2034923541548244,3.568257476170338,9.571388782587904e-09,21.340416666666666,28.22,15.02,4.010906720650382,6.858,0.0,17.3,37.6,7.112,13.716000000000001,35.4796203521546,67.24214460563962,1,318.40000000000003,147.83200000000002,892.8722252838713,65,50
