variant,Year,Trt_code,Treatment,Date,dap,gdd_cum,z_root_m,canopy_cover_frac,biomass_t_ha,dry_yield_t_ha,Es_mm,Tr_mm,DeepPerc_mm,IrrDay_mm,SWD_AquaCrop_mm,Canopy_obs
default_maize,2013,8,65/65,2013-08-20,98.0,1176.4379999999996,1.5893944357290846,0.9393074729609558,2141.064763840262,4.381977477299188,0.05312641841186581,5.029872789725562,0.0,0.0,53.69644295206945,81.735
default_maize,2013,8,65/65,2013-08-22,100.0,1205.9279999999994,1.6116822220634428,0.9393074729609558,2203.852580762121,4.920940279600901,0.07970182770468653,3.652231267387049,0.0,0.0,32.42799038616263,87.46000000000001
default_maize,2013,8,65/65,2013-08-29,107.0,1305.1229999999996,1.6888732063972054,0.9393074729609558,2420.6323319678577,6.982910828867326,0.11535233212897579,5.174290223756205,0.0,0.0,46.63100559026652,80.2675
default_maize,2013,8,65/65,2013-09-04,113.0,1390.6479999999997,1.6998009997623118,0.8899084014925734,2594.7722903315525,8.93507778573476,0.07610803744181786,3.481034308514259,0.0,0.0,51.51158741723469,76.95
default_maize,2013,8,65/65,2013-09-20,129.0,1566.9734999999998,1.6998009997623118,0.33120300337882613,2858.2856703690954,13.835141171163391,0.8306340396302485,0.261322417644421,0.0034399979470894665,0.0,5.768192387387206,48.7425
default_maize,2013,9,65/50,2013-06-18,35.0,349.193,0.8073556073605817,0.3878725483233362,139.44649372794308,0.0,0.12520415769946358,3.6641064153936656,0.0,0.0,31.76730368366977,18.875
default_maize,2013,9,65/50,2013-06-25,42.0,445.30299999999994,0.9055384139650032,0.7352147947786735,324.88127108895503,0.0,0.0316235279226363,5.764474972946569,0.0,0.0,55.74541225497731,32.375
default_maize,2013,9,65/50,2013-06-27,44.0,474.05299999999994,0.932816796307215,0.7838679438462923,387.46169952223175,0.0,1.1562244205511538,7.904101829512857,0.0,0.0,60.17316501332836,39.4925
default_maize,2013,9,65/50,2013-07-02,49.0,540.3679999999999,0.9997138505472563,0.8379887801709263,547.3425517711175,0.0,0.6128604054116175,6.163864551797265,0.0,0.0,80.28826082501334,53.295
default_maize,2013,9,65/50,2013-07-09,56.0,638.3279999999999,1.0905150607137195,0.8776345335971154,762.4409981813311,0.0,0.02228831576341137,4.999612396261975,0.0,0.0,100.30302928290911,52.1125
default_maize,2013,9,65/50,2013-07-11,58.0,666.2129999999999,1.1158839726125847,0.8988644385044271,830.7945801210209,0.0,0.41240380741936616,8.480277661967488,0.0,0.0,90.85432175450441,75.0675
default_maize,2013,9,65/50,2013-07-16,63.0,736.2929999999999,1.1786050649888797,0.9293004534170397,1003.6718986218024,0.0,0.20353068788240952,7.614118347597795,0.0,0.0,86.82310495254627,84.7025
default_maize,2013,9,65/50,2013-07-18,65.0,765.0529999999999,1.2033518192213497,0.932928205196613,1072.7705563070092,0.0,0.14511072472138073,5.9781419288812065,0.0,0.0,97.7144370571754,80.3125
default_maize,2013,9,65/50,2013-07-25,72.0,857.3679999999998,1.2885537500580195,0.9393709138331666,1309.8678849819855,0.24443553722989098,0.05662835380804138,2.746362435099349,0.0,0.0,98.35003670154902,86.4075
default_maize,2013,9,65/50,2013-07-30,77.0,913.9979999999998,1.3481968607828108,0.9393709138331666,1468.6383566737097,0.5005314806234676,0.10719978763667079,5.26494020435766,0.0,0.0,62.77230706452283,85.22749999999999
default_maize,2013,9,65/50,2013-08-02,80.0,955.1329999999998,1.383534612408015,0.9393709138331666,1568.637229438879,0.7578354355558437,0.12172608273646068,5.92779522587532,0.0,30.4,48.51405879714671,84.17750000000001
default_maize,2013,9,65/50,2013-08-13,91.0,1089.558,1.5105064794928122,0.9393709138331666,1920.4895320407504,2.6786781122061196,0.08357916067133755,3.79391574400369,0.0,0.0,30.066603875706765,85.5575
default_maize,2013,9,65/50,2013-08-15,93.0,1111.578,1.533187117949103,0.9393709138331666,1982.100886824302,3.133762424054085,0.09728679401611909,4.375864870566643,0.0,0.0,38.613777781037,83.60249999999999
default_maize,2013,9,65/50,2013-08-20,98.0,1176.4379999999996,1.5893878440556757,0.9393709138331666,2140.729986910584,4.381300679990805,0.05055060846664721,5.030039574890251,0.0,0.0,62.82144709406641,79.8625
default_maize,2013,9,65/50,2013-08-22,100.0,1205.9279999999994,1.611675630390034,0.9393709138331666,2203.5198644158068,4.920202004339197,0.07952396633919678,3.6523507097596597,0.0,0.0,47.452099535589895,87.53
default_maize,2013,9,65/50,2013-08-29,107.0,1305.1229999999996,1.6888666147237965,0.9393709138331666,2420.30650430228,6.981959172273429,0.11509491364942843,5.17445097536771,0.0,0.0,65.65454917087654,78.665
default_maize,2013,9,65/50,2013-09-04,113.0,1390.6479999999997,1.699794408088903,0.889968505949105,2594.4517467904016,8.933944584173767,0.061967630212513246,3.481138236197478,0.0,0.0,76.52071374871184,71.4825
default_maize,2013,9,65/50,2013-09-20,129.0,1566.9734999999998,1.699794408088903,0.33122537284571385,2857.9731423363287,13.833546307389208,0.8305934726776242,0.26133268964587114,0.0,0.0,27.5171115820789,29.16
default_maize,2013,10,65/40,2013-06-18,35.0,349.193,0.8073556073605817,0.3891219814235484,139.62634211896304,0.0,0.11420544583846874,3.6733519903482885,0.0,0.0,31.337744513754263,16.0775
