variant,Year,Trt_code,Date,z_model,z_USDA,SWD_modelroot,SWD_USDAroot,Canopy_AC,Es,Tr
effective100,2012,4,2012-08-24,0.6385824743747857,,17.93514383317711,,17.82976482287143,2.201047617635644,1.0650011981989695
effective100,2012,4,2012-08-25,0.6385824743747857,,20.48860932193693,,17.40474532662353,1.3237774405061258,1.2296880401152186
effective100,2012,4,2012-08-26,0.6385824743747857,,22.52585507738004,,16.92563886729484,0.9154312678791456,1.1218144852806449
effective100,2012,4,2012-08-27,0.6385824743747857,1.05,24.136969254768623,62.30751503510374,16.38556246751343,0.6460531136632586,0.9650610630787434
effective100,2012,4,2012-08-28,0.6385824743747857,,7.817265878227928,,15.776757238693214,4.3171115548174255,1.0631850684571098
effective100,2012,4,2012-08-29,0.6385824743747857,1.05,12.604251890694444,50.77479767079158,15.09047691467081,3.9084826543581284,0.8785033580551731
effective100,2012,4,2012-08-30,0.6385824743747857,,17.306278799465485,,14.316862200400058,3.6884249649547156,1.0136019438008859
effective100,2012,4,2012-08-31,0.6385824743747857,,19.91775076820025,,13.444799130562304,1.7287718430148844,0.8827001257154028
effective100,2012,4,2012-09-01,0.6385824743747857,,21.371632129018472,,12.461759403232769,0.8683041948096306,0.5855771660072702
effective100,2012,4,2012-09-02,0.6385824743747857,,22.76158622482568,,11.353620394791648,0.7967018746198249,0.5932522211870149
effective100,2012,4,2012-09-03,0.6385824743747857,,23.696557359337962,,10.10446227036394,0.5319177991075607,0.4030533354046137
effective100,2012,4,2012-09-04,0.6385824743747857,1.05,24.526751183453413,62.69729696352872,8.696339275019865,0.5029821016272777,0.3272117224881461
effective100,2012,4,2012-09-05,0.6385824743747857,,25.214179072485003,,7.109021920041135,0.4647685479959655,0.22265934103563112
effective100,2012,4,2012-09-06,0.6385824743747857,1.05,25.745029849366812,63.91557562944211,5.319706360429085,0.4107618669430951,0.12008890993871807
effective100,2012,4,2012-09-07,0.6385824743747857,,26.09016078670651,,3.3026867884905693,0.31263292120554786,0.03249801613416189
effective100,2012,4,2012-09-08,0.6385824743747857,,26.39484592796428,,1.0289861370162632,0.3016059442931904,0.003079196964591088
effective100,2012,5,2012-04-30,0.08,,3.753900049830017,,0.0,4.692375062287551,0.0
effective100,2012,5,2012-05-01,0.08,,5.2718430270147305,,0.0,1.8974287214809162,0.0
effective100,2012,5,2012-05-02,0.08,,6.643501024449703,,0.0,1.714572496793716,0.0
effective100,2012,5,2012-05-03,0.08,,7.946309182792724,,0.0,1.6285101979287846,0.0
effective100,2012,5,2012-05-04,0.08,,8.946351027475611,,0.0,1.2500523058536175,0.0
effective100,2012,5,2012-05-05,0.08,,9.569030653030312,,0.4875,0.7783495319433889,0.0
effective100,2012,5,2012-05-06,0.08,,10.58633306313073,,0.5738742470010385,3.0496280126255377,0.0
effective100,2012,5,2012-05-07,0.08,,8.763677620223216,,0.6755521053764285,1.531680696365608,0.0
effective100,2012,5,2012-05-08,0.08,,11.228728923706418,,0.6693127862307413,3.081314129354019,0.0
effective100,2012,5,2012-05-09,0.08,,12.194027183297466,,0.6619209548482653,1.206622824488818,0.0
effective100,2012,5,2012-05-10,0.08,,12.415687856150482,,0.6531637219016666,0.985736033449295,0.0
effective100,2012,5,2012-05-11,0.08,,12.415687856150482,,0.6427888736519074,0.4840079922606273,0.0
effective100,2012,5,2012-05-12,0.08,,12.415687856150482,,0.6304976080361702,1.5876180156698452,0.0
effective100,2012,5,2012-05-13,0.08,,12.415687856150482,,0.6159359289831668,0.5217902482684804,0.0
effective100,2012,5,2012-05-14,0.08,,12.415687856150482,,0.5986844511067813,0.685796659519991,0.0
effective100,2012,5,2012-05-15,0.08,,12.415687856150482,,0.5782463211468956,0.7247667675741237,0.0
effective100,2012,5,2012-05-16,0.08,,12.415687856150482,,0.5540329082874117,0.5608120017328235,0.0
effective100,2012,5,2012-05-17,0.08,,12.415687856150482,,0.5253468512237498,0.4619539308930875,0.0
effective100,2012,5,2012-05-18,0.08,,12.415687856150482,,0.49136197372485746,1.6131819458476029,0.0
effective100,2012,5,2012-05-19,0.08,,12.415687856150482,,0.45109949024546064,0.6968596617486045,0.0
effective100,2012,5,2012-05-20,0.08,,12.415687856150482,,0.40339981629543586,0.4248283114955311,0.0
effective100,2012,5,2012-05-21,0.08,,12.415687856150482,,0.3468891716874604,0.6946284114337576,0.0
effective100,2012,5,2012-05-22,0.08,,12.415687856150482,,0.2799400148157657,2.8828093041350016,0.0
effective100,2012,5,2012-05-23,0.08,,4.568063083527572,,0.32953921068278375,4.917483409091409,0.004985625129958451
effective100,2012,5,2012-05-24,0.09027524171086804,,9.435225686528577,,0.32729714898246665,4.741541664921375,0.0
effective100,2012,5,2012-05-25,0.09027524171086804,0.25,10.205482443913109,17.002565416218673,0.3238337431838241,0.8532314539256547,0.0
effective100,2012,5,2012-05-26,0.09027524171086804,,11.494056126725607,,0.31972953576767016,1.4273832541368732,0.0
effective100,2012,5,2012-05-27,0.09027524171086804,,12.316749228560461,,0.31486596519750626,0.9113164210291169,0.0
effective100,2012,5,2012-05-28,0.09027524171086804,,12.939779869691977,,0.3091025336034152,0.6901456360836621,0.0
effective100,2012,5,2012-05-29,0.09027524171086804,,13.441620270429473,,0.3022727481072324,0.5559003678381541,0.0
effective100,2012,5,2012-05-30,0.09027524171086804,,-0.44853035832878163,,0.35582881171071296,7.715393681866887,0.0221610807496664
effective100,2012,5,2012-05-31,0.10011433168030215,0.335,4.834320658905287,17.633527939585655,0.4188738284754046,4.94404072768088,0.017088138741932445
effective100,2012,5,2012-06-01,0.10986501988281357,,9.474306795741352,,0.4188224597189,4.373906634635131,0.0
effective100,2012,5,2012-06-02,0.10986501988281357,,11.146501822679522,,0.41493958446422435,1.6721950269381853,0.0
effective100,2012,5,2012-06-03,0.10986501988281357,,12.400443054751957,,0.41033860123015187,1.2539412320724521,0.0
effective100,2012,5,2012-06-04,0.10986501988281357,,13.81433140058181,,0.40488670145698125,2.683888345829875,0.0
effective100,2012,5,2012-06-05,0.10986501988281357,0.41,14.78988574763778,43.079441844488386,0.39842651466112783,2.4995543470559904,0.0
effective100,2012,5,2012-06-06,0.10986501988281357,,-3.0002197689099606,,0.4690189047926214,8.51842050181215,0.04547398164011448
effective100,2012,5,2012-06-07,0.1192178082373312,0.44,-5.668998894126551,26.407239965271224,0.552118709368446,6.237608803766422,0.046186918519927574
effective100,2012,5,2012-06-08,0.12851082602227604,0.455,4.8103511515398125,36.08992546338527,0.649941966346671,6.4011142993624315,0.07948553507739178
effective100,2012,5,2012-06-09,0.13774605574841958,,7.649116780556241,,0.7197607417711597,2.724140863238052,0.05368220541330107
effective100,2012,5,2012-06-10,0.14675311709214736,,9.740267130095447,,0.7165841646467879,2.0613371185857092,0.018895354527590766
